BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,1,99,0,0,,,,,,,,,,,,
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Big Sagebrush Shrubland,Mountain Big Sage-Bitterbrush-3,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland,Wyoming Big Sage-Rubber Rabbitbrush-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland,Wyoming Big Sage-Spiny Hopsage-1,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush,Basin Big Sage-Greasewood-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush,Wyoming Big Sage-Indian Ricegrass-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Steppe,Wyoming Big Sage-Wheatgrass-3,Shrubland,0,60,10,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Steppe,Wyoming Big Sage-Wheatgrass-4,Shrubland,0,60,10,0,3,,,,,,,,,,,
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,Shrubland,0,99,60,25,10,,,,,,,,,,,
Inter-Mountain Basins Greasewood Flat,Greasewood-Shadscale-5,Shrubland,0,25,25,0,,,,,,,,,,,,
Inter-Mountain Basins Juniper Savanna,Western Juniper-Utah Juniper-3,Conifer,0,99,25,25,15,1,1,,1,0,0,0,1,0,0,0
Inter-Mountain Basins Mat Saltbush Shrubland,Mat Saltbush-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub - North,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub - South,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Montane Riparian Systems,Black Cottonwood-Narrowleaf Willow-3,Riparian,1,99,95,80,25,0,,1,0,0,0,1,0,0,0,1
Inter-Mountain Basins Montane Sagebrush Steppe,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,Low Sage-Black Sage-Silver Sage-5,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Grassland,Indian Ricegrass-Threeawn-1,Grassland,0,60,0,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Shrub-Steppe,Sand Sage-Jointfir-3,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Shrub-Steppe,Spiny Hopsage-Jointfir-5,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Limber Pine-Bristlecone Pine-3,Conifer,0,99,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Douglas Fir-Incense Cedar-1,Conifer,0,95,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Douglas Fir-Incense Cedar-1,Conifer,0,95,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Jeffery Pine-Roemers Fescue-Oatgrass-1,Conifer,0,95,60,10,25,1,1,,1,0,0,0,1,0,0,0
Laurentian Pine-Oak Barrens,White Oak-White Pine-Pennsylvania Sedge-1,Hardwood-Conifer,0,99,25,25,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Northern White Cedar-5,Riparian,1,99,95,95,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Laurentian-Acadian Floodplain Systems,Silver Maple-Green Ash-Black Ash-3,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
Laurentian-Acadian Jack Pine Barrens and Forest,Jack Pine-Pennsylvania Sedge-1,Conifer,0,100,75,60,,1,1,,1,0,0,0,1,0,0,0
Laurentian-Acadian Northern Hardwoods Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Sugar Maple-Eastern Hemlock-5,Hardwood,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine-Balsam Fir-1,Hardwood-Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Laurentian-Acadian Northern Pine(-Oak) Forest,Red Pine-White Pine-White Oak-3,Hardwood-Conifer,0,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,0,100,95,95,40,0.7,1,1,1,0,0,0.428571429,0.7,0,0,0.3
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Upright Sedge-Bluejoint Grass-2,Riparian,1,99,0,0,,,,,,,,,,,,
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Upright Sedge-Bluejoint Grass-5,Riparian,1,99,0,0,,,,,,,,,,,,
Laurentian-Acadian Swamp Systems,Northern White Cedar-5,Riparian,1,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Llano Uplift Acidic Forest-Woodland-Glade,Live Oak-Post Oak-Little Bluestem-1,Hardwood,0,95,60,60,25,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Lower Mississippi Alluvial Plain Grand Prairie,Big Bluestem-Switchgrass-1,Grassland,0,99,0,0,,,,,,,,,,,,
Lower Mississippi River Dune Woodland and Forest,Post Oak-Sassafras-Pondberry-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
Lower Mississippi River Flatwoods,Willow Oak-Overcup Oak-3,Hardwood,1,99,85,85,25,0,,1,0,0,0,1,0,0,0,1
Madrean Encinal,Arizona Pine-Emory Oak-1,Conifer,0,99,95,95,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Madrean Juniper Savanna,Alligator Juniper-Emory Oak-3,Conifer,0,99,25,25,15,1,0.5,,1,1,0,0,0.5,0.5,0,0
Madrean Lower Montane Pine-Oak Forest and Woodland,Arizona Pine-Emory Oak-1,Conifer,0,100,85,85,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Madrean Oriental Chaparral,Gambel Oak-Serviceberry-3,Shrubland,0,99,60,0,5,0,,1,0,0,0,1,0,0,0,1
Madrean Pinyon-Juniper Woodland,Alligator Juniper-Emory Oak-3,Conifer,0,99,60,60,15,1,0.5,,1,1,0,0,0.5,0.5,0,0
Madrean Upper Montane Conifer-Oak Forest and Woodland,Douglas Fir-Silverleaf Oak-1,Conifer,0,100,85,85,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Mediterranean California Alpine Dry Tundra,Nearlyblack Sedge-Shorthair-5,Grassland,0,95,0,0,,,,,,,,,,,,
Mediterranean California Alpine Fell-Field,Pink Mountain Heath-Wax Currant-5,Shrubland,0,99,60,0,3,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Ponderosa Pine-Incense Cedar-1,Conifer,0,100,85,75,40,1,1,,1,0,0,0,1,0,0,0
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Ponderosa Pine-California Black Oak-1,Conifer,0,100,85,85,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Douglas Fir-White Fir-Sugar Pine-1,Conifer,0,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
Mediterranean California Mesic Serpentine Woodland and Chaparral,Sargents Cypress-LeatherOak-3,Shrubland,0,95,75,25,20,1,0.5,,1,1,0,0,0.5,0.5,0,0
Mediterranean California Mixed Evergreen Forest,Douglas Fir-Tanoak-Pacific Madrone-1,Conifer,0,100,95,95,60,1,0.5,,1,1,0,0,0.5,0.5,0,0
Mediterranean California Mixed Oak Woodland,Oregon White Oak-RoemersFescue-Oatgrass-1,Hardwood,0,99,60,60,25,0,,1,0,0,0,1,0,0,0,1
Mediterranean California Red Fir Forest,Red Fir-1,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Mediterranean California Red Fir Forest - Cascades,Red Fir-White Fir-1,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Mediterranean California Red Fir Forest - Southern Sierra,Red Fir-Western White Pine-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Mediterranean California Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Mediterranean California Subalpine Meadow,Western Yarrow-Rothrock Sage-2,Grassland,0,99,0,0,,,,,,,,,,,,
Mediterranean California Subalpine Woodland,Whitebark Pine-3,Conifer,0,99,60,60,,1,1,,1,0,0,0,1,0,0,0
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Douglas Fir-Ninebark-3,Conifer,0,100,85,85,20,1,1,,1,0,0,0,1,0,0,0
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,Douglas Fir-Idaho Fescue-1,Conifer,0,100,85,25,,1,1,,1,0,0,0,1,0,0,0
Mississippi Delta Maritime Forest,Slash Pine-Myrtle Oak-Saw Palmetto-1,Hardwood-Conifer,0,100,80,60,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Beech-Tuliptree-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
Mogollon Chaparral,Pointleaf Manzanita-Desert Ceanothus-Birchleaf Mountain Mahogany-4,Shrubland,0,99,60,0,3,1,0,,0,1,0,0,0,1,0,0
Mojave Mid-Elevation Mixed Desert Scrub,Blackbrush-Jointfir-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Nashville Basin Limestone Glade and Woodland,Dropseed-Little Bluestem-Post Oak-1,Savanna,0,95,25,10,20,0,,1,0,0,0,1,0,0,0,1
No Data,No Data,No Data,,,,,,,,,,,,,,,,
North American Warm Desert Riparian Systems,Alkali Sacaton-Vine Mesquite-5,Riparian,1,99,60,25,15,0,,1,0,0,0,1,0,0,0,1
North American Warm Desert Riparian Systems,Cottonwood-Goodings Willow-Mesquite-1,Riparian,1,99,60,25,25,0,,1,0,0,0,1,0,0,0,1
North American Warm Desert Riparian Systems,Desert Willow-Arizona Sycamore-5,Riparian,1,99,60,25,20,0,,1,0,0,0,1,0,0,0,1
North American Warm Desert Riparian Systems - Stringers,Goodings Willow-Velvet Ash-Acacia-5,Riparian,1,99,60,25,20,0,,1,0,0,0,1,0,0,0,1
North American Warm Desert Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,0,,,,,,,,,,,
North Pacific Alpine and Subalpine Dry Grassland,Idaho Fescue-Beargrass-4,Grassland,0,99,0,0,,,,,,,,,,,,
North Pacific Avalanche Chute Shrubland,Sitka Alder-Salmonberry-5,Shrubland,0,99,60,0,,0,,1,0,0,0,1,0,0,0,1
North Pacific Broadleaf Landslide Forest and Shrubland,Red Alder-Bigleaf Maple-5,Hardwood,0,100,60,30,25,0,,1,0,0,0,1,0,0,0,1
North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Pink Mountain Heath-Wax Currant-5,Shrubland,0,99,60,0,,0.5,0,1,0,1,0,1,0,0.5,0,0.5
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Douglas Fir-3,Conifer,0,100,85,85,25,1,1,,1,0,0,0,1,0,0,0
North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Silver Fir-Western Hemlock-3,Conifer,0,100,95,95,50,1,1,,1,0,0,0,1,0,0,0
North Pacific Hypermaritime Sitka Spruce Forest,Sitka Spruce-Western Hemlock-5,Conifer,0,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Red Cedar-Western Hemlock-5,Conifer,0,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
North Pacific Lowland Riparian Forest and Shrubland,Black Cottonwood-Bigleaf Maple-Western Redcedar-5,Riparian,1,100,95,60,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Douglas Fir-Western Hemlock-3,Conifer,0,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
North Pacific Maritime Mesic Subalpine Parkland,Mountain Hemlock-Mountain Heath-5,Conifer,0,100,60,25,,1,1,,1,0,0,0,1,0,0,0
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Douglas Fir-Western Hemlock-5,Conifer,0.1,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
North Pacific Mesic Western Hemlock-Silver Fir Forest,Western Hemlock-5,Conifer,0,100,95,95,60,1,1,,1,0,0,0,1,0,0,0
North Pacific Montane Grassland,Wildrye-Idaho Fescue-2,Grassland,0,99,0,0,,,,,,,,,,,,
North Pacific Montane Riparian Woodland and Shrubland - Dry,White Alder-Devils Club-5,Riparian,1,99,60,30,20,0,,1,0,0,0,1,0,0,0,1
North Pacific Montane Riparian Woodland and Shrubland - Wet,Red Alder-Bigleaf Maple-Vine Maple-5,Riparian,1,99,60,30,25,0,,1,0,0,0,1,0,0,0,1
North Pacific Montane Shrubland,Huckelberry-Beargrass-5,Shrubland,0,99,60,0,,0,,1,0,0,0,1,0,0,0,1
North Pacific Mountain Hemlock Forest - Wet,Mountain Hemlock-Devils Club-5,Conifer,0.1,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
North Pacific Mountain Hemlock Forest - Xeric,Mountain Hemlock-Huckleberry-5,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
North Pacific Oak Woodland,Oregon White Oak-RoemersFescue-Oatgrass-1,Hardwood,0,99,60,60,25,0,,1,0,0,0,1,0,0,0,1
North Pacific Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
North Pacific Swamp Systems,Thinleaf Alder-Oregon Ash-Western Redcedar-5,Riparian,1,99,95,95,50,0.5,1,1,1,0,0,1,0.5,0,0,0.5
North Pacific Wooded Volcanic Flowage,Lodgepole Pine-Lichen-5,Conifer,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
North-Central Interior Beech-Maple Forest,Sugar Maple-Beech-Basswood-5,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
North-Central Interior Dry Oak Forest and Woodland,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
North-Central Interior Dry-Mesic Oak Forest and Woodland,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
North-Central Interior Maple-Basswood Forest,Sugar Maple-Beech-Basswood-5,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
North-Central Interior Oak Savanna,White Oak-Bur Oak-Big Bluestem-1,Hardwood,0,99,25,25,25,0,,1,0,0,0,1,0,0,0,1
North-Central Interior Sand and Gravel Tallgrass Prairie,Little Bluestem-Sideoats Grama-2,Grassland,0,99,0,0,,,,,,,,,,,,
North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
North-Central Oak Barrens,Black Oak-Northern Pin Oak-Little Bluestem-1,Hardwood,0,99,25,25,20,0,,1,0,0,0,1,0,0,0,1
Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,0,100,95,95,30,0.2,1,1,0.25,0,0,1,0.2,0,0,0.8
Northeastern Interior Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,0,99,60,25,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Northern and Central California Dry-Mesic Chaparral,Chamise-Manzanita-4,Shrubland,0,99,60,0,,1,0,,0,1,0,0,0,1,0,0
Northern Atlantic Coastal Plain Dune and Swale,American Beachgrass-Northern Bayberry-1,Grassland,0.5,99,10,0,,0,,1,0,0,0,1,0,0,0,1
Northern Atlantic Coastal Plain Dune and Swale,Sea Oats-1,Grassland,0,99,0,0,,,,,,,,,,,,
Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,0,100,95,95,25,0,,1,0,0,0,1,0,0,0,1
Northern Atlantic Coastal Plain Maritime Forest,Scarlet Oak-Black Oak-American Holly-1,Hardwood-Conifer,0,100,95,95,25,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,0,99,60,25,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Northern California Coastal Scrub,Coyote Brush-Lupine-4,Shrubland,0,99,60,0,,,,,,,,,,,,
Northern California Mesic Subalpine Woodland,Mountain Hemlock-Lodgepole Pine-5,Conifer,0,99,60,60,,1,1,,1,0,0,0,1,0,0,0
Northern Crowley`s Ridge Sand Forest,Shortleaf Pine-Post Oak-Big Bluestem-1,Hardwood-Conifer,0,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Northern Rocky Mountain Conifer Swamp,Engelmann Spruce-Ladyfern-5,Conifer,0,99,95,95,25,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Douglas Fir-Ninebark-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Ponderosa Pine-Douglas Fir-1,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,Grand Fir-Douglas Fir-Beargrass-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,Western Larch-Douglas Fir-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine,Lodgepole Pine-Douglas Fir-3,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Ponderosa Pine-Douglas Fir-1,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Foothill Conifer Wooded Steppe,Douglas Fir-Idaho Fescue-1,Conifer,0,99,95,95,25,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Foothill Conifer Wooded Steppe,Ponderosa Pine-1,Conifer,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Bluebunch Wheatgrass-Idaho Fescue-2,Grassland,0,99,0,0,,,,,,,,,,,,
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Rough Fescue-Bluebunch Wheatgrass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Grand Fir-Douglas Fir-Pacific Yew-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Grand Fir-Douglas Fir-Western Red Cedar-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,Western Red Cedar-5,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Ninebark-Snowberry-2,Shrubland,0,99,60,0,,0,,1,0,0,0,1,0,0,0,1
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Serviceberry-Common Snowberry-Rocky Mountain Maple-4,Shrubland,0,99,60,0,,0,,1,0,0,0,1,0,0,0,1
Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Ponderosa Pine-1,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,Ponderosa Pine-1,Conifer,0,99,25,25,20,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric,Ponderosa Pine-3,Conifer,0,99,25,25,20,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Subalpine Woodland and Parkland,Whitebark Pine-3,Conifer,0,99,60,60,15,1,1,,1,0,0,0,1,0,0,0
Northern Rocky Mountain Subalpine-Upper Montane Grassland,Green Needlegrass-Idaho Fescue-4,Grassland,0,99,0,0,,,,,,,,,,,,
Northern Sugar Maple-Basswood Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,0,100,95,95,30,0.2,1,1,0.25,0,0,1,0.2,0,0,0.8
Northern Tallgrass Prairie,Big Bluestem-Switchgrass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Northwestern Great Plains Aspen Forest and Parkland,Quaking Aspen-Paper Birch-4,Hardwood,0,100,95,95,25,0,,1,0,0,0,1,0,0,0,1
Northwestern Great Plains Canyon,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Northwestern Great Plains Highland White Spruce Woodland,White Spruce-1,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
