ECO_ID,REALM,BIOME,BIOME_NAME,ECO_NAME,wet,vegcover,woodycover,treecover
10101,AA,1,Tropical and subtropical moist broadleaf forests,Admiralty Islands lowland rain forests,0,100,95,95
10102,AA,1,Tropical and subtropical moist broadleaf forests,Banda Sea Islands moist deciduous forests,0,100,95,95
10103,AA,1,Tropical and subtropical moist broadleaf forests,Biak-Numfoor rain forests,0,100,95,95
10104,AA,1,Tropical and subtropical moist broadleaf forests,Buru rain forests,0,100,95,95
10105,AA,1,Tropical and subtropical moist broadleaf forests,Central Range montane rain forests,0,100,95,95
10106,AA,1,Tropical and subtropical moist broadleaf forests,Halmahera rain forests,0,100,95,95
10107,AA,1,Tropical and subtropical moist broadleaf forests,Huon Peninsula montane rain forests,0,100,95,95
10108,AA,1,Tropical and subtropical moist broadleaf forests,Japen rain forests,0,100,95,95
10109,AA,1,Tropical and subtropical moist broadleaf forests,Lord Howe Island subtropical forests,0,100,95,95
10110,AA,1,Tropical and subtropical moist broadleaf forests,Louisiade Archipelago rain forests,0,100,95,95
10111,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland lowland rain forests,0,100,95,95
10112,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland montane rain forests,0,100,95,95
10113,AA,1,Tropical and subtropical moist broadleaf forests,New Caledonia rain forests,0,100,95,95
10114,AA,1,Tropical and subtropical moist broadleaf forests,Norfolk Island subtropical forests,0,100,95,95
10115,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea lowland rain and freshwater swamp forests,1,100,95,95
10116,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea montane rain forests,0,100,95,95
10117,AA,1,Tropical and subtropical moist broadleaf forests,Queensland tropical rain forests,0,100,95,95
10118,AA,1,Tropical and subtropical moist broadleaf forests,Seram rain forests,0,100,95,95
10119,AA,1,Tropical and subtropical moist broadleaf forests,Solomon Islands rain forests,0,100,95,95
10120,AA,1,Tropical and subtropical moist broadleaf forests,Southeastern Papuan rain forests,0,100,95,95
10121,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea freshwater swamp forests,1,100,95,95
10122,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea lowland rain forests,0,100,95,95
10123,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi lowland rain forests,0,100,95,95
10124,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi montane rain forests,0,100,95,95
10125,AA,1,Tropical and subtropical moist broadleaf forests,Trobriand Islands rain forests,0,100,95,95
10126,AA,1,Tropical and subtropical moist broadleaf forests,Vanuatu rain forests,0,100,95,95
10127,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop montane rain forests,0,100,95,95
10128,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop-Aru lowland rain forests,0,100,95,95
30101,AT,1,Tropical and subtropical moist broadleaf forests,Albertine Rift montane forests,0,100,95,95
30102,AT,1,Tropical and subtropical moist broadleaf forests,Atlantic Equatorial coastal forests,0,100,95,95
30103,AT,1,Tropical and subtropical moist broadleaf forests,Cameroonian Highlands forests,0,100,95,95
30104,AT,1,Tropical and subtropical moist broadleaf forests,Central Congolian lowland forests,0,100,95,95
30105,AT,1,Tropical and subtropical moist broadleaf forests,Comoros forests,0,100,95,95
30106,AT,1,Tropical and subtropical moist broadleaf forests,Cross-Niger transition forests,0,100,95,95
30107,AT,1,Tropical and subtropical moist broadleaf forests,Cross-Sanaga-Bioko coastal forests,0,100,95,95
30108,AT,1,Tropical and subtropical moist broadleaf forests,East African montane forests,0,100,95,95
30109,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Arc forests,0,100,95,95
30110,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Congolian swamp forests,1,100,95,95
30111,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Guinean forests,0,100,95,95
30112,AT,1,Tropical and subtropical moist broadleaf forests,Ethiopian montane forests,0,100,95,95
30113,AT,1,Tropical and subtropical moist broadleaf forests,Granitic Seychelles forests,0,100,95,95
30114,AT,1,Tropical and subtropical moist broadleaf forests,Guinean montane forests,0,100,95,95
30115,AT,1,Tropical and subtropical moist broadleaf forests,Knysna-Amatole montane forests,0,100,95,95
30116,AT,1,Tropical and subtropical moist broadleaf forests,KwaZulu-Cape coastal forest mosaic,0,100,95,95
30117,AT,1,Tropical and subtropical moist broadleaf forests,Madagascar lowland forests,0,100,95,95
30118,AT,1,Tropical and subtropical moist broadleaf forests,Madagascar subhumid forests,0,100,95,95
30119,AT,1,Tropical and subtropical moist broadleaf forests,Maputaland coastal forest mosaic,0,100,95,95
30120,AT,1,Tropical and subtropical moist broadleaf forests,Mascarene forests,0,100,95,95
30121,AT,1,Tropical and subtropical moist broadleaf forests,Mount Cameroon and Bioko montane forests,0,100,95,95
30122,AT,1,Tropical and subtropical moist broadleaf forests,Niger Delta swamp forests,1,100,95,95
30123,AT,1,Tropical and subtropical moist broadleaf forests,Nigerian lowland forests,0,100,95,95
30124,AT,1,Tropical and subtropical moist broadleaf forests,Northeastern Congolian lowland forests,0,100,95,95
30125,AT,1,Tropical and subtropical moist broadleaf forests,Northern Zanzibar-Inhambane coastal forest mosaic,0,100,95,95
30126,AT,1,Tropical and subtropical moist broadleaf forests,Northwestern Congolian lowland forests,0,100,95,95
30127,AT,1,Tropical and subtropical moist broadleaf forests,Sao Tome and Principe moist lowland forests,0,100,95,95
30128,AT,1,Tropical and subtropical moist broadleaf forests,Southern Zanzibar-Inhambane coastal forest mosaic,0,100,95,95
30129,AT,1,Tropical and subtropical moist broadleaf forests,Western Congolian swamp forests,1,100,95,95
30130,AT,1,Tropical and subtropical moist broadleaf forests,Western Guinean lowland forests,0,100,95,95
40101,IM,1,Tropical and subtropical moist broadleaf forests,Andaman Islands rain forests,0,100,95,95
40102,IM,1,Tropical and subtropical moist broadleaf forests,Borneo lowland rain forests,0,100,95,95
40103,IM,1,Tropical and subtropical moist broadleaf forests,Borneo montane rain forests,0,100,95,95
40104,IM,1,Tropical and subtropical moist broadleaf forests,Borneo peat swamp forests,1,100,95,95
40105,IM,1,Tropical and subtropical moist broadleaf forests,Brahmaputra Valley semi-evergreen forests,0,100,95,95
40106,IM,1,Tropical and subtropical moist broadleaf forests,Cardamom Mountains rain forests,0,100,95,95
40107,IM,1,Tropical and subtropical moist broadleaf forests,Chao Phraya freshwater swamp forests,1,100,95,95
40108,IM,1,Tropical and subtropical moist broadleaf forests,Chao Phraya lowland moist deciduous forests,0,100,95,95
40109,IM,1,Tropical and subtropical moist broadleaf forests,Chin Hills-Arakan Yoma montane forests,0,100,95,95
40110,IM,1,Tropical and subtropical moist broadleaf forests,Christmas and Cocos Islands tropical forests,0,100,95,95
40111,IM,1,Tropical and subtropical moist broadleaf forests,Eastern highlands moist deciduous forests,0,100,95,95
40112,IM,1,Tropical and subtropical moist broadleaf forests,Eastern Java-Bali montane rain forests,0,100,95,95
40113,IM,1,Tropical and subtropical moist broadleaf forests,Eastern Java-Bali rain forests,0,100,95,95
40114,IM,1,Tropical and subtropical moist broadleaf forests,Greater Negros-Panay rain forests,0,100,95,95
40115,IM,1,Tropical and subtropical moist broadleaf forests,Himalayan subtropical broadleaf forests,0,100,95,95
40116,IM,1,Tropical and subtropical moist broadleaf forests,Irrawaddy freshwater swamp forests,1,100,95,95
40117,IM,1,Tropical and subtropical moist broadleaf forests,Irrawaddy moist deciduous forests,0,100,95,95
40118,IM,1,Tropical and subtropical moist broadleaf forests,Jian Nan subtropical evergreen forests,0,100,95,95
40119,IM,1,Tropical and subtropical moist broadleaf forests,Kayah-Karen montane rain forests,0,100,95,95
40120,IM,1,Tropical and subtropical moist broadleaf forests,Lower Gangetic Plains moist deciduous forests,0,100,95,95
40121,IM,1,Tropical and subtropical moist broadleaf forests,Luang Prabang montane rain forests,0,100,95,95
40122,IM,1,Tropical and subtropical moist broadleaf forests,Luzon montane rain forests,0,100,95,95
40123,IM,1,Tropical and subtropical moist broadleaf forests,Luzon rain forests,0,100,95,95
40124,IM,1,Tropical and subtropical moist broadleaf forests,Malabar Coast moist forests,0,100,95,95
40125,IM,1,Tropical and subtropical moist broadleaf forests,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,0,100,95,95
40125,IM,1,Tropical and subtropical moist broadleaf forests,Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forest,0,100,95,95
40126,IM,1,Tropical and subtropical moist broadleaf forests,Meghalaya subtropical forests,0,100,95,95
40127,IM,1,Tropical and subtropical moist broadleaf forests,Mentawai Islands rain forests,0,100,95,95
40128,IM,1,Tropical and subtropical moist broadleaf forests,Mindanao montane rain forests,0,100,95,95
40129,IM,1,Tropical and subtropical moist broadleaf forests,Mindanao-Eastern Visayas rain forests,0,100,95,95
40130,IM,1,Tropical and subtropical moist broadleaf forests,Mindoro rain forests,0,100,95,95
40131,IM,1,Tropical and subtropical moist broadleaf forests,Mizoram-Manipur-Kachin rain forests,0,100,95,95
40132,IM,1,Tropical and subtropical moist broadleaf forests,Myanmar coastal rain forests,0,100,95,95
40133,IM,1,Tropical and subtropical moist broadleaf forests,Nicobar Islands rain forests,0,100,95,95
40134,IM,1,Tropical and subtropical moist broadleaf forests,North Western Ghats moist deciduous forests,0,100,95,95
40135,IM,1,Tropical and subtropical moist broadleaf forests,North Western Ghats montane rain forests,0,100,95,95
40136,IM,1,Tropical and subtropical moist broadleaf forests,Northern Annamites rain forests,0,100,95,95
40137,IM,1,Tropical and subtropical moist broadleaf forests,Northern Indochina subtropical forests,0,100,95,95
40138,IM,1,Tropical and subtropical moist broadleaf forests,Northern Khorat Plateau moist deciduous forests,0,100,95,95
40139,IM,1,Tropical and subtropical moist broadleaf forests,Northern Thailand-Laos moist deciduous forests,0,100,95,95
40140,IM,1,Tropical and subtropical moist broadleaf forests,Northern Triangle subtropical forests,0,100,95,95
40141,IM,1,Tropical and subtropical moist broadleaf forests,Northern Vietnam lowland rain forests,0,100,95,95
40142,IM,1,Tropical and subtropical moist broadleaf forests,Orissa semi-evergreen forests,0,100,95,95
40143,IM,1,Tropical and subtropical moist broadleaf forests,Palawan rain forests,0,100,95,95
40144,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian montane rain forests,0,100,95,95
40145,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian peat swamp forests,1,100,95,95
40146,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian rain forests,0,100,95,95
40147,IM,1,Tropical and subtropical moist broadleaf forests,Red River freshwater swamp forests,1,100,95,95
40148,IM,1,Tropical and subtropical moist broadleaf forests,South China Sea Islands,0,100,95,95
40149,IM,1,Tropical and subtropical moist broadleaf forests,South China-Vietnam subtropical evergreen forests,0,100,95,95
40150,IM,1,Tropical and subtropical moist broadleaf forests,South Western Ghats moist deciduous forests,0,100,95,95
40151,IM,1,Tropical and subtropical moist broadleaf forests,South Western Ghats montane rain forests,0,100,95,95
40152,IM,1,Tropical and subtropical moist broadleaf forests,Southern Annamites montane rain forests,0,100,95,95
40153,IM,1,Tropical and subtropical moist broadleaf forests,Southwest Borneo freshwater swamp forests,1,100,95,95
40154,IM,1,Tropical and subtropical moist broadleaf forests,Sri Lanka lowland rain forests,0,100,95,95
40155,IM,1,Tropical and subtropical moist broadleaf forests,Sri Lanka montane rain forests,0,100,95,95
40156,IM,1,Tropical and subtropical moist broadleaf forests,Sulu Archipelago rain forests,0,100,95,95
40157,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran freshwater swamp forests,1,100,95,95
40158,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran lowland rain forests,0,100,95,95
40159,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran montane rain forests,0,100,95,95
40160,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran peat swamp forests,1,100,95,95
40161,IM,1,Tropical and subtropical moist broadleaf forests,Sundaland heath forests,0,100,95,95
40162,IM,1,Tropical and subtropical moist broadleaf forests,Sundarbans freshwater swamp forests,1,100,95,95
40163,IM,1,Tropical and subtropical moist broadleaf forests,Tenasserim-South Thailand semi-evergreen rain forests,0,100,95,95
40164,IM,1,Tropical and subtropical moist broadleaf forests,Tonle Sap freshwater swamp forests,1,100,95,95
40165,IM,1,Tropical and subtropical moist broadleaf forests,Tonle Sap-Mekong peat swamp forests,1,100,95,95
40166,IM,1,Tropical and subtropical moist broadleaf forests,Upper Gangetic Plains moist deciduous forests,0,100,95,95
40167,IM,1,Tropical and subtropical moist broadleaf forests,Western Java montane rain forests,0,100,95,95
40168,IM,1,Tropical and subtropical moist broadleaf forests,Western Java rain forests,0,100,95,95
40169,IM,1,Tropical and subtropical moist broadleaf forests,Hainan Island monsoon rain forests,0,100,95,95
40170,IM,1,Tropical and subtropical moist broadleaf forests,Nansei Islands subtropical evergreen forests,0,100,95,95
40171,IM,1,Tropical and subtropical moist broadleaf forests,South Taiwan monsoon rain forests,0,100,95,95
40172,IM,1,Tropical and subtropical moist broadleaf forests,Taiwan subtropical evergreen forests,0,100,95,95
60101,NT,1,Tropical and subtropical moist broadleaf forests,Araucaria moist forests,0,100,95,95
60102,NT,1,Tropical and subtropical moist broadleaf forests,Atlantic Coast restingas,0,100,75,60
60103,NT,1,Tropical and subtropical moist broadleaf forests,Bahia coastal forests,0,100,95,95
60104,NT,1,Tropical and subtropical moist broadleaf forests,Bahia interior forests,0,100,95,95
60105,NT,1,Tropical and subtropical moist broadleaf forests,Bolivian Yungas,0,100,95,95
60106,NT,1,Tropical and subtropical moist broadleaf forests,Caatinga Enclaves moist forests,0,100,95,95
60107,NT,1,Tropical and subtropical moist broadleaf forests,Caqueta moist forests,0,100,95,95
60108,NT,1,Tropical and subtropical moist broadleaf forests,Catatumbo moist forests,0,100,95,95
60109,NT,1,Tropical and subtropical moist broadleaf forests,Cauca Valley montane forests,0,100,95,95
60110,NT,1,Tropical and subtropical moist broadleaf forests,Cayos Miskitos-San Andrés & Providencia moist forests,0,100,95,95
60111,NT,1,Tropical and subtropical moist broadleaf forests,Central American Atlantic moist forests,0,100,95,95
60112,NT,1,Tropical and subtropical moist broadleaf forests,Central American montane forests,0,100,95,95
60113,NT,1,Tropical and subtropical moist broadleaf forests,Chiapas montane forests,0,100,95,95
60114,NT,1,Tropical and subtropical moist broadleaf forests,Chimalapas montane forests,0,100,95,95
60115,NT,1,Tropical and subtropical moist broadleaf forests,Chocó-Darién moist forests,0,100,95,95
60116,NT,1,Tropical and subtropical moist broadleaf forests,Cocos Island moist forests,0,100,95,95
60117,NT,1,Tropical and subtropical moist broadleaf forests,Cordillera La Costa montane forests,0,100,95,95
60118,NT,1,Tropical and subtropical moist broadleaf forests,Cordillera Oriental montane forests,0,100,95,95
60119,NT,1,Tropical and subtropical moist broadleaf forests,Costa Rican seasonal moist forests,0,100,95,95
60120,NT,1,Tropical and subtropical moist broadleaf forests,Cuban moist forests,0,100,95,95
60121,NT,1,Tropical and subtropical moist broadleaf forests,Eastern Cordillera real montane forests,0,100,95,95
60122,NT,1,Tropical and subtropical moist broadleaf forests,Eastern Panamanian montane forests,0,100,95,95
60123,NT,1,Tropical and subtropical moist broadleaf forests,Fernando de Noronha-Atol das Rocas moist forests,0,100,95,95
60124,NT,1,Tropical and subtropical moist broadleaf forests,Guayanan Highlands moist forests,0,100,95,95
60125,NT,1,Tropical and subtropical moist broadleaf forests,Guianan moist forests,0,100,95,95
60126,NT,1,Tropical and subtropical moist broadleaf forests,Gurupa varzeá,1,100,95,95
60127,NT,1,Tropical and subtropical moist broadleaf forests,Hispaniolan moist forests,0,100,95,95
60128,NT,1,Tropical and subtropical moist broadleaf forests,Iquitos varzeá,1,100,95,95
60129,NT,1,Tropical and subtropical moist broadleaf forests,Isthmian-Atlantic moist forests,0,100,95,95
60130,NT,1,Tropical and subtropical moist broadleaf forests,Isthmian-Pacific moist forests,0,100,95,95
60131,NT,1,Tropical and subtropical moist broadleaf forests,Jamaican moist forests,0,100,95,95
60132,NT,1,Tropical and subtropical moist broadleaf forests,Japurá-Solimoes-Negro moist forests,0,100,95,95
60133,NT,1,Tropical and subtropical moist broadleaf forests,Juruá-Purus moist forests,0,100,95,95
60134,NT,1,Tropical and subtropical moist broadleaf forests,Leeward Islands moist forests,0,100,95,95
60135,NT,1,Tropical and subtropical moist broadleaf forests,Madeira-Tapajós moist forests,0,100,95,95
60136,NT,1,Tropical and subtropical moist broadleaf forests,Magdalena Valley montane forests,0,100,95,95
60137,NT,1,Tropical and subtropical moist broadleaf forests,Magdalena-Urabá moist forests,0,100,95,95
60138,NT,1,Tropical and subtropical moist broadleaf forests,Marajó Varzeá forests,1,100,95,95
60139,NT,1,Tropical and subtropical moist broadleaf forests,Maranhao Babaçu forests,0,100,95,95
60140,NT,1,Tropical and subtropical moist broadleaf forests,Mato Grosso seasonal forests,0,100,95,95
60141,NT,1,Tropical and subtropical moist broadleaf forests,Monte Alegre varzeá,1,100,95,95
60142,NT,1,Tropical and subtropical moist broadleaf forests,Napo moist forests,0,100,95,95
60143,NT,1,Tropical and subtropical moist broadleaf forests,Negro-Branco moist forests,0,100,95,95
60144,NT,1,Tropical and subtropical moist broadleaf forests,Northeastern Brazil restingas,0,100,75,75
60145,NT,1,Tropical and subtropical moist broadleaf forests,Northwestern Andean montane forests,0,100,95,95
60146,NT,1,Tropical and subtropical moist broadleaf forests,Oaxacan montane forests,0,100,95,95
60147,NT,1,Tropical and subtropical moist broadleaf forests,Orinoco Delta swamp forests,1,100,95,95
60148,NT,1,Tropical and subtropical moist broadleaf forests,Pantanos de Centla,1,100,95,95
60149,NT,1,Tropical and subtropical moist broadleaf forests,Guianan Freshwater swamp forests,1,100,95,95
60150,NT,1,Tropical and subtropical moist broadleaf forests,Alta Paraná Atlantic forests,0,100,95,95
60151,NT,1,Tropical and subtropical moist broadleaf forests,Pernambuco coastal forests,0,100,95,95
60152,NT,1,Tropical and subtropical moist broadleaf forests,Pernambuco interior forests,0,100,95,95
60153,NT,1,Tropical and subtropical moist broadleaf forests,Peruvian Yungas,0,100,95,95
60154,NT,1,Tropical and subtropical moist broadleaf forests,Petén-Veracruz moist forests,0,100,95,95
60155,NT,1,Tropical and subtropical moist broadleaf forests,Puerto Rican moist forests,0,100,95,95
60156,NT,1,Tropical and subtropical moist broadleaf forests,Purus varzeá,1,100,95,95
60157,NT,1,Tropical and subtropical moist broadleaf forests,Purus-Madeira moist forests,0,100,95,95
60158,NT,1,Tropical and subtropical moist broadleaf forests,Rio Negro campinarana,0,100,95,95
60159,NT,1,Tropical and subtropical moist broadleaf forests,Santa Marta montane forests,0,100,95,95
60160,NT,1,Tropical and subtropical moist broadleaf forests,Serra do Mar coastal forests,0,100,95,95
60161,NT,1,Tropical and subtropical moist broadleaf forests,Sierra de los Tuxtlas,0,100,95,95
60162,NT,1,Tropical and subtropical moist broadleaf forests,Sierra Madre de Chiapas moist forest,0,100,95,95
60163,NT,1,Tropical and subtropical moist broadleaf forests,Solimoes-Japurá moist forest,0,100,95,95
60164,NT,1,Tropical and subtropical moist broadleaf forests,South Florida rocklands,0,100,95,95
60165,NT,1,Tropical and subtropical moist broadleaf forests,Southern Andean Yungas,0,100,95,95
60166,NT,1,Tropical and subtropical moist broadleaf forests,Southwest Amazon moist forests,0,100,95,95
60167,NT,1,Tropical and subtropical moist broadleaf forests,Talamancan montane forests,0,100,95,95
60168,NT,1,Tropical and subtropical moist broadleaf forests,Tapajós-Xingu moist forests,0,100,95,95
60169,NT,1,Tropical and subtropical moist broadleaf forests,Tepuis,0,95,60,10
60170,NT,1,Tropical and subtropical moist broadleaf forests,Tocantins/Pindare moist forests,0,100,95,95
60171,NT,1,Tropical and subtropical moist broadleaf forests,Trinidad and Tobago moist forests,0,100,95,95
60172,NT,1,Tropical and subtropical moist broadleaf forests,Trindade-Martin Vaz Islands tropical forests,0,100,95,95
60173,NT,1,Tropical and subtropical moist broadleaf forests,Uatuma-Trombetas moist forests,0,100,95,95
60174,NT,1,Tropical and subtropical moist broadleaf forests,Ucayali moist forests,0,100,95,95
60175,NT,1,Tropical and subtropical moist broadleaf forests,Venezuelan Andes montane forests,0,100,95,95
60176,NT,1,Tropical and subtropical moist broadleaf forests,Veracruz moist forests,0,100,95,95
60177,NT,1,Tropical and subtropical moist broadleaf forests,Veracruz montane forests,0,100,95,95
60178,NT,1,Tropical and subtropical moist broadleaf forests,Western Ecuador moist forests,0,100,95,95
60179,NT,1,Tropical and subtropical moist broadleaf forests,Windward Islands moist forests,0,100,95,95
60180,NT,1,Tropical and subtropical moist broadleaf forests,Xingu-Tocantins-Araguaia moist forests,0,100,95,95
60181,NT,1,Tropical and subtropical moist broadleaf forests,Yucatán moist forests,0,100,95,95
70101,OC,1,Tropical and subtropical moist broadleaf forests,Carolines tropical moist forests,0,100,95,95
70102,OC,1,Tropical and subtropical moist broadleaf forests,Central Polynesian tropical moist forests,0,100,95,95
70103,OC,1,Tropical and subtropical moist broadleaf forests,Cook Islands tropical moist forests,0,100,95,95
70104,OC,1,Tropical and subtropical moist broadleaf forests,Eastern Micronesia tropical moist forests,0,100,95,95
70105,OC,1,Tropical and subtropical moist broadleaf forests,Fiji tropical moist forests,0,100,95,95
70106,OC,1,Tropical and subtropical moist broadleaf forests,Hawaii tropical moist forests,0,100,95,95
70107,OC,1,Tropical and subtropical moist broadleaf forests,Kermadec Islands subtropical moist forests,0,100,95,95
70108,OC,1,Tropical and subtropical moist broadleaf forests,Marquesas tropical moist forests,0,100,95,95
70109,OC,1,Tropical and subtropical moist broadleaf forests,Ogasawara subtropical moist forests,0,100,95,95
70110,OC,1,Tropical and subtropical moist broadleaf forests,Palau tropical moist forests,0,100,95,95
70111,OC,1,Tropical and subtropical moist broadleaf forests,Rapa Nui - Sala-y-Gomez subtropical broadleaf forests,0,100,95,95
70112,OC,1,Tropical and subtropical moist broadleaf forests,Samoan tropical moist forests,0,100,95,95
70113,OC,1,Tropical and subtropical moist broadleaf forests,Society Islands tropical moist forests,0,100,95,95
70114,OC,1,Tropical and subtropical moist broadleaf forests,Tongan tropical moist forests,0,100,95,95
70115,OC,1,Tropical and subtropical moist broadleaf forests,Tuamotu tropical moist forests,0,100,95,95
70116,OC,1,Tropical and subtropical moist broadleaf forests,Tubuai tropical moist forests,0,100,95,95
70117,OC,1,Tropical and subtropical moist broadleaf forests,Western Polynesian tropical moist forests,0,100,95,95
80101,PA,1,Tropical and subtropical moist broadleaf forests,Gizhou Plateau broadleaf and mixed forests,0,100,95,95
80102,PA,1,Tropical and subtropical moist broadleaf forests,Yunnan Plateau subtropical evergreen forests,0,100,95,95
10201,AA,2,Tropical and subtropical dry broadleaf forests,Lesser Sundas deciduous forests,0,99,90,60
10202,AA,2,Tropical and subtropical dry broadleaf forests,New Caledonia dry forests,0,99,90,60
10203,AA,2,Tropical and subtropical dry broadleaf forests,Sumba deciduous forests,0,99,90,60
10204,AA,2,Tropical and subtropical dry broadleaf forests,Timor and Wetar deciduous forests,0,99,90,60
30201,AT,2,Tropical and subtropical dry broadleaf forests,Cape Verde Islands dry forests,0,99,90,60
30202,AT,2,Tropical and subtropical dry broadleaf forests,Madagascar dry deciduous forests,0,99,90,60
30203,AT,2,Tropical and subtropical dry broadleaf forests,Zambezian Cryptosepalum dry forests,0,99,90,60
40201,IM,2,Tropical and subtropical dry broadleaf forests,Central Deccan Plateau dry deciduous forests,0,99,90,60
40202,IM,2,Tropical and subtropical dry broadleaf forests,Central Indochina dry forests,0,99,90,60
40203,IM,2,Tropical and subtropical dry broadleaf forests,Chhota-Nagpur dry deciduous forests,0,99,90,60
40204,IM,2,Tropical and subtropical dry broadleaf forests,East Deccan dry-evergreen forests,0,99,90,60
40205,IM,2,Tropical and subtropical dry broadleaf forests,Irrawaddy dry forests,0,99,90,60
40206,IM,2,Tropical and subtropical dry broadleaf forests,Khathiar-Gir dry deciduous forests,0,99,90,60
40207,IM,2,Tropical and subtropical dry broadleaf forests,Narmada Valley dry deciduous forests,0,99,90,60
